slug,name,country,category,tags,founded,funding_stage,modality,form_factor,interface_depth,indication,target_user,regulatory_stage,description,analyst_note,website,profile_url,logo_url,related_slugs
anthriq,Anthriq,India,Tools and Infrastructure,Data Infrastructure; OEM,2020,Seed,EEG,,,Research,,Research only,"Developing non-invasive EEG-based BCI headsets and a full-stack biosignal ecosystem, hardware, SDK, APIs, for real-time brain-tech interaction.","Anthriq is best understood as a developer-infrastructure play in the biosignal space, packaging wireless EEG hardware with a full-stack SDK and API layer aimed at enabling third-party applications rather than serving end users directly. This positions it adjacent to Arctop and BrainBit in the BCI middleware segment, though with a stronger hardware-plus-software bundle rather than a purely software-agnostic approach.",https://nexstem.ai/,https://www.neurofounders.co/startups/anthriq,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/697ce2dcbb56e630a525b21e_nexstemai_logo%20(1).jpeg,bitbrain; brainbit; emotiv; g-tec; kernel
anuevo,ANUEVO,United States,Neuromodulation,Therapeutics; Assistive Technology,2016,Series C+,SCS,,,Paralysis/motor,,FDA cleared (510k),Providing a non-invasive transcutaneous spinal cord stimulation system to restore motor function in people with chronic spinal cord injury.,"Aneuvo's FDA clearance and prior CE mark for ExaStim make it one of the few transcutaneous SCS companies with both regulatory approval and home-use indication rather than clinic-only trial data. Its patent dispute with Onward Medical, resolved in Aneuvo's favor at the Unified Patent Court, signals a competitive and increasingly commercial transcutaneous stimulation market rather than a purely early-research field.",https://aneuvo.com/,https://www.neurofounders.co/startups/anuevo,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a783ded49dff57cea8063cc_aneuvo_logo.jpeg,onward-medical; spinex; spinally; reach-neuro; setpoint-medical
aora,Aora,United States,Consumer Neurotech,Monitoring; Wellness,2026,Unknown,Multimodal,,,General brain health,,Non-medical,"Developing a behind-the-ear neurofeedback wearable for cognitive load, neural recovery, burnout risk, and real-time brain-state tracking.","Aora appears positioned as an early consumer brain-health wearable around lightweight, continuous mental-state tracking. Its current public materials emphasize pre-order and field-test activity, with limited independent validation or regulatory detail available.",https://aoramind.com,https://www.neurofounders.co/startups/aora,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a41e4cad966792ab75d7b7d_1781883438515.jpeg,muse; neurable; idun-technologies; brainco; sens-ai
apollo-neuro,Apollo Neuro,USA,Consumer Neurotech,Monitoring; Wellness,2018,Series A,VNS,,,Wellness,,Non-medical,"A wearable “touch therapy” device using calming vibrations to enhance stress resilience, focus, and sleep via SmartVibes AI.","Apollo Neuro sits in the consumer wellness segment as a vibrotactile wearable positioned around vagus nerve activation for stress, sleep, and focus, backed by an unusually extensive clinical evidence base for a non-medical device. Its direct-to-consumer distribution and Series A funding differentiate it from clinical neuromodulation companies, though the wellness-grade regulatory pathway limits its clinical credibility ceiling.",https://apolloneuro.com,https://www.neurofounders.co/startups/apollo-neuro,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bc612afc509bfab8411ec_apollo_neuro_logo.jpeg,temple; ctrl-labs; nextsense; neurable; muse
arctop,Arctop,USA,Tools and Infrastructure,Data Infrastructure; Decision Support,2016,Series A,Software,,,Research,,Research only,Developing a hardware-agnostic brain-computer interface platform that decodes neural activity to deliver real-time cognitive and intention metrics via developer APIs and SDKs.,"Arctop is differentiated by its hardware-agnostic positioning, offering a developer-facing SDK that abstracts brain signal decoding across any EEG hardware rather than selling proprietary sensors. This infrastructure-layer approach targets a different buyer than most BCI companies, appealing to gaming, education, and enterprise developers seeking to integrate neural metrics without building neuroscience expertise in-house.",https://arctop.com/,https://www.neurofounders.co/startups/arctop,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6951054549d779dd2e6e72b2_arctop_logo.jpeg,nimbus; karavela-ai; netholabs; zander-labs
artiria-medical,Artiria Medical,Switzerland,Tools and Infrastructure,Clinical Workflows; Decision Support,2019,Series A,Endovascular,,,Stroke,,FDA cleared (510k),Developing micro-articulated guidewire systems with dynamic tip manipulation for minimally invasive neurovascular stroke interventions.,"Artiria Medical stands out in the neurovascular tools segment as one of very few startups focused specifically on guidewire navigation rather than thrombectomy devices, giving it a narrower competitive set but a clear procedural pain point. With FDA clearance, 50+ clinical cases, and Series A funding, it sits further along the commercialization curve than most neurotech startups at comparable scale.",https://www.artiria-medical.com,https://www.neurofounders.co/startups/artiria-medical,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69cf80dd22331f4b5efb3992_artiria_med_logo.jpeg,sense-neuro-diagnostics; emvision; ceribell; sensome; time-is-brain
atlas,Atlas,USA,Consumer Neurotech,Monitoring; Wellness,2025,Non-dilutive,EEG,,,Wellness,,Non-medical,Developing a behind-the-ear EEG wearable that quantifies cognitive signals such as readiness and focus for real-world monitoring and performance contexts.,"Atlas is positioned as a consumer EEG wearable emphasizing a discrete behind-the-ear form factor that avoids the headband aesthetic typical of competitors like Muse and BrainBit. The grant-funded, wellness-focused product targets behavioral feedback loops linking cognitive state to daily activity, though it remains pre-commercial with no disclosed regulatory or clinical pathway.",https://www.atlaswearable.com,https://www.neurofounders.co/startups/atlas,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6990c6deff8f91b70598fcd9_atlaswearable_logo.jpeg,neurable; neurox; nextsense; wisear; idun-technologies
attune-neurosciences,Attune Neurosciences,USA,Neuromodulation,Therapeutics; Closed-loop,2019,Non-dilutive,Ultrasound,,,Psychiatry,,Investigational,"Developing wearable low-intensity focused ultrasound neuromodulation systems for deep-brain targets across chronic pain, depression, and related indications.","Attune Neurosciences sits in the focused ultrasound neuromodulation segment, with a wearable headband format aimed at making deep-brain stimulation more deployable outside hospital-based systems. Its current positioning is clinical-stage and research-backed, with ARPA-H supported work in chronic pain and depression biomarkers.",https://www.attuneneuro.com/,https://www.neurofounders.co/startups/attune-neurosciences,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/69df7d1aeffdeeb59072849d_attuneneuro_logo.jpg,carthera; sonomind; therasonic; sononeu; navifus
audicin,Audicin,Finland,Consumer Neurotech,Wellness; Experimental,2022,Seed,Light/sound,,,Wellness,,Non-medical,"Providing audio-based nervous system regulation using brainwave entrainment and wearable biometric data across app, headband, and SDK formats.","The product runs as a regulation layer inside existing wearable ecosystems, monetizing through an SDK instead of proprietary hardware, which is a distribution bet as much as a neurotech one. No direct neural measurement sits behind the brainwave-entrainment claims just yet, keeping it at the wellness end of the category despite the neurotech framing.",https://www.audicin.com,https://www.neurofounders.co/startups/audicin,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a720097298dac812b253f32_1760792406927.jpeg,muse; apollo-neuro; elemind; idun-technologies; brnlit-ai
aural-analytics,Aural Analytics,USA,Diagnostics and Assessment,Diagnostics; Monitoring,2015,Acquired,Biomarkers,,,Neurodegenerative,,Investigational,"Delivering clinical-grade, non-invasive speech analytics to assess neurological health and monitor neurodegenerative diseases.","Aural Analytics is best understood as an acquired speech-biomarker capability now embedded within Linus Health's broader multimodal cognitive assessment platform, rather than an independent company. Its differentiation lay in non-invasive vocal analysis for neurological disease detection, a modality that gains more clinical weight when combined with Linus Health's existing digital cognitive tools.",https://auralanalytics.com,https://www.neurofounders.co/startups/aural-analytics,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bc63272f75fec3ee046d3_auralanalytics_logo.jpeg,altoida; evocal-health; winterlight-labs
aurenar,Aurenar,United States,Neuromodulation,Therapeutics; Clinical Workflows,2024,Seed,VNS,,,Stroke,,Investigational,"Developing a non-invasive, single-use transauricular vagus nerve stimulation device to reduce inflammation-driven complications in ICU stroke patients.","Transauricular vagus nerve stimulation gives Aurenar a low-friction entry point into acute ICU care, targeting inflammation-driven secondary brain injury rather than building a broad neuromodulation platform from day one. FDA Breakthrough Device status and pilot data from Washington University carry it further along the translation path than most seed-stage neuromodulation companies typically reach this early.",https://www.aurenar.com,https://www.neurofounders.co/startups/aurenar,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a71fd4f37515f30c161ae5e_1710032127526.jpeg,electrocore; cala-health; spark-biomedical; synergia-medical; xanastim
awear,AWEAR,USA,Consumer Neurotech,Monitoring; Machine Learning,2023,Pre-seed,EEG,,,General brain health,,Non-medical,Developing an ear-worn EEG wearable that tracks brainwave patterns and provides AI-guided stress and emotional-wellness insights.,"AWEAR sits in the consumer mental-wellness wearable segment, using ear-worn EEG as the sensing layer for stress and emotional-state feedback. Its positioning is differentiated by the attempt to make continuous brain monitoring fit into the behavioral loop established by mainstream health wearables.",https://aweartech.com,https://www.neurofounders.co/startups/awear,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a1d4b89dc0c568f4800b516_awear_technologies_us_logo.jpeg,neurable; muse; emotiv; sens-ai; idun-technologies
axoft,Axoft,USA,Brain-Computer Interface,Rehabilitation; OEM,2021,Series A,Intracortical,,,Multi-indication,,Investigational,"Creating ultrasoft, brain‑mimicking implantable interfaces that reduce tissue damage, maintain high electrode density, and enable stable long‑term single‑neuron communication.","Axoft is differentiated by its ultrasoft Fleuron material, which is orders of magnitude more compliant than standard polyimide probes, addressing the chronic tissue-scarring problem that limits long-term signal stability in conventional intracortical implants. With first-in-human cases completed in 2025, it has advanced further into clinical translation than most materials-science-focused BCI startups at seed stage.",https://axoft.us/,https://www.neurofounders.co/startups/axoft,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bc64e668f5889d6c28836_axoftus_logo.jpeg,paradromics; inbrain-neuroelectronics; ability-neurotech; precision-neuroscience; neuroxess
axorus,Axorus,France,Brain-Computer Interface,Assistive Technology; Experimental,2019,Seed,Visual prosthesis,,,Vision,,Preclinical,Developing a retinal prosthesis in the form of a photoacoustic contact lens and laser glasses system to non-invasively restore vision in degenerative blindness.,"Axorus occupies a narrow and technically distinctive position in the visual prosthesis space, using photoacoustic stimulation delivered via a contact-lens-and-glasses system rather than surgically implanted retinal electrodes. This non-invasive approach to retinal stimulation is differentiated from both implantable competitors like Second Sight and cortical visual prostheses, though it remains at the preclinical stage with published proof-of-concept only.",https://www.axorus.com/,https://www.neurofounders.co/startups/axorus,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/697b5a945715479d9bde9053_1630564366150.jpeg,revision-implant; science-corp; grey-matter-neurosciences; dandelion-science; nuuron
beacon-biosignals,Beacon Biosignals,USA,Tools and Infrastructure,Data Infrastructure; Decision Support,2019,Series B,EEG,,,Multi-indication,,FDA cleared (510k),Accelerating precision neuroscience in clinical trials by capturing and analyzing sleep EEG with AI-powered biomarkers.,"Beacon Biosignals is positioned as the leading pharma-facing EEG analytics platform, using a foundation model trained on millions of hours of sleep EEG data to extract CNS drug biomarkers for clinical trial endpoints. Its $86M Series B, FDA-cleared Waveband device, and partnerships with Takeda and UCB place it among the most commercially advanced neurotech startups in the biopharma services segment.",https://beacon.bio,https://www.neurofounders.co/startups/beacon-biosignals,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bc6af52f8b0cdb36b0792_beaconbiosignals_logo.jpeg,bioserenity; neurosteer; openwater; cumulus-neuroscience; bios-health
biological-input-output-systems,Biological Input Output Systems,USA,Brain-Computer Interface,Assistive Technology; Experimental,2021,Unknown,Nerve stimulator,,,Rehabilitation,,Investigational,Developing an implantable universal neural interface that enables intuitive two-way communication between the nervous system and external devices to restore movement and sensation.,"Biological Input Output Systems is differentiated by targeting the peripheral nervous system rather than the brain for its universal neural interface, avoiding craniotomy while enabling bidirectional prosthetic control through adaptive decoding algorithms. The company remains at an early and opaque stage with limited public disclosure on funding or regulatory progress, making its commercial trajectory difficult to assess.",https://www.biologicinputoutputsystems.com/,https://www.neurofounders.co/startups/biological-input-output-systems,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/695105c68a2cc46f213d1b59_biologic_input_output_systems_logo.jpeg,neuros-medical; cortec; phantom-neuro; brainco; morph-labs
bioness-medical,Bioness Medical,United States,Neuromodulation,Assistive Technology; Clinical Workflows,2004,Acquired,Nerve stimulator,,,Rehabilitation,,FDA cleared (510k),"Providing functional electrical stimulation and neuromodulation devices for rehabilitation after stroke, spinal cord injury, and other neurological conditions.","Bioness Medical is best understood as a mature rehabilitation-device incumbent rather than an emerging startup, now operating as a private-equity-backed consolidation platform under Accelmed Partners following its 2026 divestiture from Bioventus. Its recent acquisitions of PoNS and Harmonic Bionics position it as an active roll-up aggregator within neuro-rehabilitation rather than a single-product innovator.",https://www.bioness.com,https://www.neurofounders.co/startups/bioness-medical,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6a71fe5feee75e63557d2e0b_bioness_inc_logo.jpeg,amber-therapeutics; capri-medical; cala-health; curonix; neurovalens
bios-health,BIOS Health,UK,Tools and Infrastructure,Decision Support; Closed-loop,2015,Series A,Software,,,Multi-indication,,Research only,Advancing precision medicine by interpreting the nervous system’s real-time data using AI-driven neural interfaces.,"BIOS Health is best understood as a neural-data analytics platform targeting pharma rather than patients, using AI to decode real-time neural signals and correlate them with drug and device efficacy at millisecond resolution. This positions it as infrastructure for precision bioelectronic medicine trials rather than a therapeutic product company, with Series A funding and partnerships across chronic disease indications.",https://www.bios.health,https://www.neurofounders.co/startups/bios-health,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bc69072d5b529dbaa8755_bios_health_inc_logo.jpeg,icometrix; sevaro; imeka; neurophet; neuroventis
bioserenity,BioSerenity,France,Diagnostics and Assessment,Diagnostics; Machine Learning,2014,Series B,EEG,,,Multi-indication,,FDA cleared (510k),"Providing connected EEG, sleep, and cardiology monitoring devices paired with an in-house AI foundation model for clinical signal interpretation.","A decade of hospital deployments and an FDA-cleared EEG device give BioSerenity a data and distribution base that few AI-diagnostics entrants can match, now being redirected into its own foundation model, BioSerenity-E1. Routine pre-screening of standard EEGs since December 2025 marks an early, concrete deployment of that model rather than a research demo, a distinction that separates it from earlier-stage EEG foundation model plays.",https://bioserenity.ai,https://www.neurofounders.co/startups/bioserenity,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/695106a0f038a061ddcef98e_bioserenity_logo.jpeg,beacon-biosignals; neurosteer; openwater; positrigo; bitbrain
bitbrain,Bitbrain,Spain,Tools and Infrastructure,Machine Learning; Data Infrastructure,2010,Series A,EEG,,,Research,,Research only,"Empowering multimodal brain–body research with wearable EEG and biosensor systems, backed by AI-powered data platforms.","Bitbrain is positioned as a multimodal research-hardware company offering synchronized EEG, biosignal, and eye-tracking systems designed for complex experimental workflows requiring 35+ simultaneous sensor channels. Its differentiation lies in hardware modularity and the breadth of simultaneous physiological signals rather than clinical application, placing it firmly in the research-tools market adjacent to g.tec and Brain Products.",https://www.bitbrain.com/,https://www.neurofounders.co/startups/bitbrain,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bc6ced54db68eb5c11298_bitbrain_technologies_logo.jpeg,anthriq; neuroconcise; emotiv; g-tec; kernel
blackrock-neurotech,Blackrock Neurotech,USA,Brain-Computer Interface,OEM; Rehabilitation,2008,Series B,Intracortical,,,Paralysis/motor,,FDA cleared (510k),"Developer of the Utah Array, the first FDA-cleared BCI implant, enabling long-term neural recording and brain-controlled devices.","Blackrock Neurotech is the longest-established intracortical BCI company, with the Utah Array having accumulated more documented long-term human implant data than any competing device in the field. Its Series B funding and FDA Breakthrough Designation position it as the reference platform against which newer implantable BCI entrants are benchmarked, though it faces increasing competitive pressure from companies pursuing less invasive approaches.",https://blackrockneurotech.com/,https://www.neurofounders.co/startups/blackrock-neurotech,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bc6f42c2eb2753512ea49_blackrock_neurotech_logo.jpeg,neuralink; ruten-inc; paradromics; neuroxess; synchron
bottneuro,Bottneuro,Switzerland,Neuromodulation,Monitoring; Therapeutics,2021,Seed,tDCS/tES,,,Dementia/impairment,,Investigational,"Developing a personalized, non-invasive transcranial electrical stimulation system for home-based treatment support in cognitive and neurological disorders.","Bottneuro is differentiated by its MRI-individualized, 3D-printed electrode montage approach to home-based tES, offering a level of stimulation personalization that generic consumer tDCS devices do not attempt. As a University of Basel spin-off with Swiss and UK device registration, it sits in a narrow segment between clinical-grade neuromodulation and consumer brain stimulation products.",http://www.bottneuro.ch,https://www.neurofounders.co/startups/bottneuro,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/6978e4d96cc662577a6b2bc1_bottneuro_logo.jpeg,clarity; neuroem-therapeutics; sinaptica-therapeutics; neuroelectrics; cognito-therapeutics
brain-q,BRAIN.Q,Israel,Tools and Infrastructure,Therapeutics; Closed-loop,2016,Series B,Software,,,Stroke,,CE-Marked,"Developing non-invasive, AI-driven neuromodulation systems to promote neuroplasticity and functional recovery after neurological injury.","BRAIN.Q is differentiated by its AI-personalized electromagnetic field therapy approach to post-stroke recovery, where stimulation parameters are tailored to individual neural network patterns rather than delivered at fixed protocols. With CE marking, Phase 2 data showing a threefold improvement in functional independence, and Series B funding, it sits among the more clinically advanced non-invasive stroke-recovery platforms.",https://brainqtech.com/,https://www.neurofounders.co/startups/brain-q,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/695107f6591fbab7ba2fcc28_brainq_technologies_logo.jpeg,cogitat; kandu; cercare-medical; cerebriu; sense-neuro-diagnostics
brainbit,BrainBit,USA,Tools and Infrastructure,OEM; Monitoring,2015,Pre-seed,EEG,,,Wellness,,Non-medical,"Delivering wearable, dry-electrode EEG headbands and SDKs for real-time brain-state monitoring in wellness, gaming, and neurofeedback.","BrainBit is positioned as a low-cost, developer-accessible EEG hardware platform, offering dry-electrode headbands with cross-platform SDK support across six operating systems and Unity. Its primary differentiation is the breadth of its developer toolchain rather than signal quality or clinical validation, placing it in the prototyping and consumer-research tier below medical-grade EEG systems.",https://brainbit.com,https://www.neurofounders.co/startups/brainbit,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bc7493b95db70f449bfee_1631300912590.jpeg,muse; neurosity; sens-ai; emotiv; brainco
braincapture,BrainCapture,Denmark,Diagnostics and Assessment,Diagnostics; Clinical Workflows,2019,Series A,EEG,,,Epilepsy,,CE-Marked,Expanding access to neurological diagnostics by deploying portable EEG systems and telemedicine tools for remote epilepsy detection.,"BrainCapture is differentiated by its explicit focus on affordable, nurse-administered epilepsy EEG in resource-limited settings across Africa and South Asia, a deployment context most EEG companies do not target. With CE Class IIA MDR certification and a 27-channel portable amplifier, it occupies a global-health niche that is commercially smaller but competitively uncontested relative to the ambulatory EEG market in developed economies.",https://braincapture.dk,https://www.neurofounders.co/startups/braincapture,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/694bc77396cb9760116e6612_1630604795089.jpeg,ceribell; epitel; neurobell; elda-braintech; theta-neurotech
braincheck,BrainCheck,USA,Diagnostics and Assessment,Diagnostics; Clinical Workflows,2014,Series A,Software,,,Dementia/impairment,,FDA cleared (510k),"Providing a software-based cognitive assessment platform for rapid screening, monitoring, and diagnosis support across neurological and mental health conditions.","BrainCheck is positioned as a software-only cognitive screening platform with FDA clearance, targeting rapid in-clinic assessment across dementia, concussion, and general cognitive decline without requiring specialized neuropsychological staff. Its differentiation lies in clinical workflow integration and regulatory status rather than novel biomarker technology, placing it in the digital cognitive assessment tier alongside Cogstate and Cambridge Cognition.",https://www.braincheck.com/,https://www.neurofounders.co/startups/braincheck,https://cdn.prod.website-files.com/69401bfa528d1f131f2aa9ca/695106bcf2356e71b6546114_braincheck_logo.jpeg,cognision; brainsightai; cercare-medical; braintrip; neurotrack
